frame,joint_name,x,y
60,knee,354,375
60,handle,369,799
61,head,356,85
61,shoulder,399,137
61,hip,354,375
61,knee,354,375
61,handle,372,799
62,head,355,85
62,shoulder,400,132
62,hip,355,375
62,knee,355,375
62,handle,373,799
63,head,354,84
63,shoulder,400,132
63,hip,347,373
63,knee,347,373
63,handle,373,798
64,head,354,83
64,shoulder,401,132
64,hip,339,370
64,knee,339,370
64,handle,373,798
65,head,353,83
65,shoulder,401,131
65,hip,330,367
65,knee,330,367
65,handle,372,797
66,head,353,82
66,shoulder,402,131
66,hip,316,365
66,knee,316,365
66,handle,371,797
67,head,352,81
67,shoulder,402,131
67,hip,298,363
67,knee,298,363
67,handle,370,797
68,head,352,80
68,shoulder,399,129
68,hip,283,364
68,knee,283,364
68,handle,369,796
69,head,351,80
69,shoulder,396,127
69,hip,266,367
69,knee,266,367
69,handle,367,795
70,head,351,79
70,shoulder,392,125
70,hip,246,366
70,knee,246,366
70,handle,365,795
71,head,351,79
71,shoulder,389,123
71,hip,230,364
71,knee,230,364
71,handle,363,794
72,head,352,79
72,shoulder,385,121
72,hip,218,360
72,knee,218,360
72,handle,362,794
73,head,353,79
73,shoulder,388,118
73,hip,210,357
73,knee,210,357
73,handle,364,793
74,head,354,79
74,shoulder,391,116
74,hip,209,353
74,knee,209,353
74,handle,365,793
75,head,355,79
75,shoulder,393,113
75,hip,216,353
75,knee,216,353
75,handle,367,792
76,head,356,79
76,shoulder,396,111
76,hip,228,352
76,knee,228,352
76,handle,368,792
77,head,356,79
77,shoulder,400,109
77,hip,245,350
77,knee,245,350
77,handle,369,792
78,head,356,78
78,shoulder,399,112
78,hip,267,351
78,knee,267,351
78,handle,368,791
79,head,357,77
79,shoulder,398,115
79,hip,286,353
79,knee,286,353
79,handle,369,791
80,head,356,77
80,shoulder,398,117
80,hip,302,354
80,knee,302,354
80,handle,370,790
81,head,356,76
81,shoulder,397,120
81,hip,313,356
81,knee,313,356
81,handle,371,790
82,head,356,75
82,shoulder,396,122
82,hip,318,359
82,knee,318,359
82,handle,371,790
83,head,355,74
83,shoulder,399,123
83,hip,318,358
83,knee,318,358
83,handle,370,789
84,head,354,73
84,shoulder,402,124
84,hip,318,358
84,knee,318,358
84,handle,368,788
85,head,354,73
85,shoulder,405,126
85,hip,317,357
85,knee,317,357
85,handle,365,788
86,head,353,72
86,shoulder,408,127
86,hip,317,357
86,knee,317,357
86,handle,362,787
87,head,352,71
87,shoulder,410,129
